Input,Product,Quantity,Tags
Brand Name Product Desailptan Kit Includes
"Como Wipes, Disinfecting, Breach Free, Lemon Scent, Cristr, 35 Ct I Ea"
"Cline Folder, Poly, 2 Pocket, Blue 1 Ea",Cline Folder Pocket,1,"Blue,Ea"
"Roaring/Comet Graph Paper, Spiral Notebook, 4 Se/in, 11""x9"", 100 Ct, 3 HP 2 Ea",Roaring Comet Graph Paper Spiral Notebook 100,2,"11"",Ea"
"Staples Glue Stick, Staples Brand, Washable, White, .26 oz. 6 Ea",Staples Glue Stick Staples Brand Washable White ounce,6,Ea
"Staples Eraelrs, Pendi Cap, Latex Free, 12/Pk 2 Pk",Staples Cap Latex Free,2,Pk
"Staple, Composition Book, Marble Cover, WR, 100 Sheets, BLK 3 Ea",Staple Composition Book Marble Cover 100 Sheets,3,Ea
"StaPies Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk 3 Pk",Filler Paper Wide Rule 120,3,"5"",Pk"
"Ayey Dividers, 3 Ring, Write On, 5 -Tab. 11"" x 8.5"" 4 St",Dividers Ring Write Tab,4,"11"",St"
"cu R.i:sroements, Round, White, 1/4"", 100/Pk 1 Pk",Round White 00,1,"4"",Pk"
"Series Pen, Stick, Medium Point, Blue 2 Ea",Series Pen Stick Medium Point,2,"Blue,Ea"
"Stacks Pencils, 12, Unsharpened, All Wood, Dz. 2 Pk",Stacks Pencils Unsharpened All Wood Dozen,2,Pk
"Prang Pencils, Colored 7"", Sharpened, 12/Set 1 St",Pencils Colored Sharpened Set,1,"7"",St"
"Esselte Index Cards, 3"" x 5"", Ruled, 100/Pk, White 2 Pk",Index Cards Ruled 100,2,"3"",White,Pk"
"Staples Highlighters, Chisel Tip, Yw/81/Gn/Pk/Or/Pur, 6/pk 1 Pk",Staples Highlighters Chisel Tip,1,Pk
"Sees Pencil !' , F 7„ Multi-Pkt, 11"" x 9"", 3 Hole, Asst. 1 Ea",Sees Pencil Multi Pkt Hole Asst,1,"11"",Ea"
"moped Sharpener, Pencil & Crayon, Obi Barrel, Canister 1 Ea",moped Sharpener Pencil Crayon Obi Barrel,1,"Canister,Ea"
"Sootdes Fadal Tissue, 'Scotties', Hypo -Allergenic, 200 0. 2 8x",Tissue Scotties Hypo Allergenic 200,8x,
"Expo 2 Markers, Dry Erase, Fine, Low Odor, Aga 4/Pk. 1 pit"
"Wilson lanes Binder, 3 Ring, Heavy Duty, View, 1"", Mad( 1 Ea"
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", White 1 Ea",Wilson Jones Binder Ring Heavy Duty View,1,"1"",White,Ea"
"Avery Binder, 3 Ring, Durable, 1"", EZ Ring, Red 1 Ea",Avery Binder Ring Durable Ring,1,"1"",Red,Ea"
"Avery Binder, 3 Ring, Durable, 1"", EZ Ring, Green 1 Ea",Avery Binder Ring Durable Ring,1,"1"",Green,Ea"
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 2"", White 1 Ea",Wilson Jones Binder Ring Heavy Duty View,1,"2"",White,Ea"
"C.Vne Expanding File, Fabric Poly, L. 13 Pckt, Zip,Blue 1 Ea",Expanding File Fabric Zip Blue,1,Ea
"Bonus Items ;:i ""Money From Home"" Envelopes & Student ID Labels 1 Ea",Bonus Money From Home Envelopes Labels,1,Ea
Total Delivered Kit Cost: $90.00,Total Delivered Kit Cost,00,
