Input,Product,Quantity,Tags
••oc o Sprint LTE,Sprint,1,
8:43 AM
summit.k12.nj.us,summit,1,
1057%Mi.
+ SECOND GRADE
THIRD GRADE
Third Grade
• 7 two -pocket folders,two pocket folders,7,
• 6 hardcover marble composition books,hardcover marble composition books,6,
• 2 boxes of #2 pencils,pencils,2,boxes
• 1 small supply box or pencil bag (should be,small pencil bag,1,box
pencil length size so it can fit in desk)
• 1 set of highlighters,highlighters,1,set
• 1 box of crayons or colored pencils,crayons colored pencils,1,box
• 3-5 packs of 3x3 assorted Post -It Notes,pack assorted Post Notes,3,"3x3,packs"
• 1 pack of 4X6 lined Post -It Notes
• 1 personal size manual pencil sharpener,size manual pencil sharpener,1,
• 2 boxes of tissues,tissues,2,boxes
• 3 glue sticks,glue sticks,3,
• Scotch tape,Scotch tape,1,
• 1 pair of kid scissors,kid scissors,1,pair
• Dry erase markers (Expo),Dry erase markers,Multiple,
• Dry erase eraser (for white board use),Dry erase eraser,1,white
• 3 pink rubber erasers,rubber erasers,3,pink
