Input,Product,Quantity,Tags
••000 Sprint LTE 10:51 PM,Sprint,000,
10 29%
1 https: ' drive.google.com,drive,1,
Q�w2r zreese Sog iz4 Ars
1 )
•
•
•
IFORMS ARE REQUIRED DAILY -THERE ARE NO DRESS DOWN DAY.,ARE REQUIRED DAILY THERE ARE DRESS DOWN DAY,1,
y Solid colors only Bottoms
"ite, Light Blue, Navy Blue Navy or Khaki pants (NO JEANS)",Light pants,Multiple,"Navy,Blue,Navy,Khaki"
"ow/Gold, Red, Hunter Green Navy/Khaki jumper or skirt",Gold Red Hunter Navy Khaki jumper skirt,1,Green
"gundy, Pink or Purple"
1
FOURTH GRADE
1 book bag (No rolling book bags),book bag,1,
2pks — 24 ct pencils —NO MECHANICAL PENCILS,pencils MECHANICAL PENCILS,2pks,ct
"1 - 3"" — 3 ring zipper binder",ring zipper binder,1,"3"""
1 pack of dividers,dividers,1,pack
Hand Sanitizer (3 per student or 1 large),Hand Sanitizer,1,
4 boxes of Kleenex,Kleenex,4,boxes
2 packs of Elmer's Glue Sticks,pack Elmer Glue Sticks,2,packs
2 packs of pencil top erasers,pack pencil top erasers,2,packs
1 pack of highlighters,highlighters,1,pack
1 pack of black pens,pens,1,"pack,black"
1 pack of red pens,pens,1,"pack,red"
1 pack of blue pens,pens,1,"pack,blue"
1 pack of dry erase markers,dry erase markers,1,pack
3 packs of sticky notes,pack sticky notes,3,packs
10 packs of notebook paper,pack notebook paper,10,packs
1 box each Ziploc bags — 1 quart and 1 gallon,each Ziploc bags quart ,1,"box,gallon"
1 pack of colored pencils,colored pencils,1,pack
1 zipper pencil bag with holes— NO BOXES,zipper pencil bag,1,BOXES
1 box of Clorox or Lysol wipes,Clorox Lysol wipes,1,box
"lastic folders w/prongs (1 of each color — green, red, blue, purple, yellow, orange)",prongs,Multiple,
4 packs — 3X5 index cards,pack index cards,4,packs
2 packs of copy paper,pack copy paper,2,packs
1 flash drive,flash drive,1,
1 — 3 subject spiral notebooks with holes,subject spiral notebooks,1,
4 composition notebooks or 4 — 1 subject spiral notebooks,composition notebooks subject spiral notebooks,4,
EASE HAVE THE FOLLOWING SUPPLIES AT HOME TO ASSIST YOUP
CHILD WITH HOMEWORK ASSIGNMENTS:
"Crayons, Pencils, Scissors, Ruler, Glue,"
