Input,Product,Quantity,Tags
••000 T -Mobile,Mobile,000,
4:42 PM
dublinschools.net,net,1,
1* [wit,wit,1,
"4 Glue Sticks, washable, purple, dries clear,",Glue Sticks washable purple dries clear,4,
.77 oz.
"1 Ruler, 12"", wood, inch & cm, no center holes",Ruler wood inch center holes,1,"12"""
"1 Scissors, 5"", pointed tip",Scissors pointed tip,1,"5"""
"1 Dry Erase markers,chisel, low odor, assorted"
colors 4 pack,colors,4,pack
"4 Dozen 2# pencils, Ticonderoga, sharpened",pencils Ticonderoga sharpened,4,Dozen
"1 Colored pencils, sharpened, 7"", 24/set",Colored pencils sharpened set,1,"7"""
"2 Pink erasers, Large",erasers Large,2,Pink
"1 Folders, Poly, 2 pockets with Prong, Purple",Folders pockets,1,Purple
"1 Folders, Poly, 2 pockets with Prong, Green",Folders pockets,1,Green
"1 Folders, Poly, 2 pockets with Prong, Red",Folders pockets,1,Red
"1 Folders, Poly, 2 pockets with Prong, Yellow",Folders pockets,1,Yellow
"1 Box Storage Bags, Zip, Quart, 15 count",Storage Bags Zip Quart,1,Box
"1 Box Storage Bags, Zip, Quart, 20 count",Storage Bags Zip Quart,1,Box
