Input,Product,Quantity,Tags
Iraan Elementary
Second Grade
Supply List
2017 — 2018
4 - Plastic Pocket Folders —,Plastic Pocket Folders,4,
"1 Red_ Black , _1 Blue, _ 1 Green",Blue,1,"Black,Green"
1 - Black and white Composition Notebook (with sewn pages,and Composition Notebook,1,"Black,white"
2 - Boxes of Crayons 24 count,Crayons,2,Boxes
"2 - Boxes of 12 count Pencils (sharpened, no mechanical pencils)",Pencils,2,Boxes
1 - Package of Elmer's glue sticks (large size — 0.77oz),Elmer glue sticks,1,Package
1 - bottle Elmer's Liquid glue,Elmer Liquid glue,1,bottle
1 - FISKAR Scissors,FISKAR Scissors,1,
2 - Packages of pencil top erasers,pencil top erasers,2,Packages
1 - Package of paper mate pink erasers,paper mate erasers,1,"Package,pink"
2 - Packages of Colored Pencils,Colored Pencils,2,Packages
2 - Package of Black Expo Markers,Expo Markers,2,"Package,Black"
2 - Spiral Notebook — Wide Rule,Spiral Notebook Wide Rule,2,
1- set of earphones — no ear buds,earphones ear buds,1,set
*A Bac{pac< wit I no wiee s,wit,1,
