Input,Product,Quantity,Tags
Grassland Middle School - Grade 6 - 2017-2018,Grassland Middle 2017,2018,
2 Co ored Penci s - Crayola 12 count
2 Composition Book - Wic e luled 100 ct.,Composition Book 100,2,
2 Dry Erase Markers - Expo - B ack - Chisel,Dry Erase Markers Expo Chisel,2,
1 Glue - - Washa e Stick - Purp e - 21 oz. - 3 pk
1 Index Carc s - 3 x 5 'lu ed - White - 100 Ct. Meac,Index 00,1,"3 x 5,White"
"1 Markers - Crayola - C assic -10 Ct. - ""lick",Markers Crayola lick,1,
1 Notebook - 3 subject - 5 star- Wide lu ed -150 Ct. Meac,Notebook subject star Wide 50,1,
2 Paper - Fi er - Wic a -150 Ct.,Paper 150,2,
1 Paper Towe - Scott - Mega C loose a Size - 102 Ct.,Paper Scott Mega loose Size 02,1,
4 Penci - - - eroga - S larpened - No. 2 -12 pack
1 Penci Pouch - Five Star - 3 ring - 3 zipper pockets,Pouch Five Star ring zipper pockets,1,
4 Tape - Scotch - ro /dispenser -1/2 x 450,Tape Scotch dispenser 50,4,2 x 4
3 -- - K eenex - 85 count
2 Wipes - )isinfectant - Clorox - 35 Ct.,Clorox,1,
