Input,Product,Quantity,Tags
"G -K 1 pkg each yellow G,,.„. papci"
brown construction,construction,1,brown
each orange and a er
L -Q 1 p p
k each white and pink construction p
R -Z 1 pkg
THIRD GRADE
"e 1 1"" vinyl binder",vinyl binder,1,"1"""
f 1 Y Cra ola mini twistable crayons -- 24 ct
• 4 Expo dry erase fine tip markers (black,Expo dry erase fine tip markers,4,
t 1 each of blue/red/green and yellow,each blue red green ,1,yellow
plastic pocket folders w/brads,plastic pocket brads,Multiple,
3 Elmer's washable glue sticks -- 77 oz,Elmer washable glue sticks,3,
r 1 pkg. Classic Cray broad tip washable markers - 8ct,Classic Cray broad tip washable markers,8ct,pkg.
12 spiral notebook 70 page wide ruled,spiral notebook page wide ruled,12,
0-36 Ticonderoga #2 yellow sharpened pencils,Ticonderoga sharpened pencils,36,yellow
O 1 pkg Crayola colored pencils —12 ct,package Crayola colored pencils,12,"pkg,ct"
". 1 Fiskar 5"" pointed scissors for kids",Fiskar pointed scissors,1,"5"""
a 2 reams of white copy paper (500 ct.)
• 1 pkg 200 ct wide ruled notebook paper,package 200 wide ruled notebook paper,1,"pkg,ct"
. 2 boxes Kleenex tissue,Kleenex tissue,2,boxes
Boys,Boys,Multiple,
1 bottle hand sanitizer - 8 oz.,hand sanitizer ounce,1,bottle
Gies
1 C'orox wipe - 35 ct.,wipe,1,
RADE
