Input,Product,Quantity,Tags
1 zippered pencil bag (no boxes),zippered pencil bag,1,
1 clipboard (8 1 x 11 in),clipboard,1,1 x 1
1 pencil sharpener with top,pencil sharpener,1,
1 box of 24 count Crayola crayons,Crayola crayons,1,box
1 box of Crayola colored pencils,Crayola colored pencils,1,box
2 boxes of #2 pencils (no mechanical pencils),pencils,2,boxes
4 large Elmer's glue sticks,large Elmer glue sticks,4,
1 pair of child scissors,child scissors,1,pair
2 black composition notebooks,composition notebooks,2,black
1 ream of white copy paper,copy paper,1,"ream,white"
"2 pocket folders (1 blue, 1 yellow) with no designs",pocket folders,2,
1
1 Expo dry erase marker,Expo dry erase marker,1,
1 bottle of hand sanitizer or hand soap,hand sanitizer hand soap,1,bottle
2 containers of Clorox wipes,Clorox wipes,2,containers
2 rolls of paper towels,paper towels,2,rolls
2 boxes of facial tissue,facial tissue,2,boxes
1 box of quart or gallon size Ziploc bags,quart size Ziploc bags,1,"box,gallon"
1 small pair of earbuds,small earbuds,1,pair
2 red pens,pens,2,red
2 white erasers,erasers,2,white
2 highlighters,highlighters,2,
1 gym uniform,gym uniform,1,
2 packs of 3x3 Post -It notes,pack Post notes,2,"3x3,packs"
