Input,Product,Quantity,Tags
Sri Grwk; S'uo
• (7) harc-coverec no (no spiral no
• 1 pair oF heacphones (aDeed!!- pease no huge ones
• Looseleaff
• (3) Expo markers and I clean sock or eraser,Expo markers and clean sock eraser,Multiple,
• (4) folders with two or more pockets,folders,Multiple,
• Scissors,Scissors,Multiple,
• Crayons,Crayons,Multiple,
• Colored pencils,Colored pencils,Multiple,
• (2) erasable pens (any color),erasable pens,2,
• 1 pack oF colored OR manila construction paper,colored manila construction paper,1,pack
• Hand-held covered sharpener
• (1) plastic ruler (showing inches and centimeters),plastic ruler,1,
• (20) sharpened pencils,sharpened pencils,Multiple,
• (3) boxes oF tissues,tissues,Multiple,boxes
• (2) highlighters,highlighters,Multiple,
• Erasers,Erasers,Multiple,
• (1) container oF baby wipes,baby wipes,Multiple,container
• 7 glue sticks,glue sticks,7,
• I supply pouch
• Thin markers,Thin markers,Multiple,
Spanish:
-I notebook,notebook,1,
Art:
- (I) Paper towel,Paper towel,1,
Music:
- I Folder,Folder,1,
