Input,Product,Quantity,Tags
Pre -K4 School SupplY List
Clear Plastic Bin for Supplies,Clear Plastic Bin,1,
2 Complete Sets of Changing Clothes,Complete Changing Clothes,2,Sets
(Including Underwear)
3 Plastic Folders of Each Color,Plastic Folders Each Color,3,
"Red, , Blue and Green"
Plastic Crayon Box,Plastic Crayon,1,Box
2 Packs of Large Crayons,Large Crayons,2,Packs
6 Large Pencils,Large Pencils,6,
1 Large Pack of 9in. x 12in. Construction Paper,Large Construction Paper,1,Pack
1 Large Pack of 18in x 12in. Construction Paper,Large Construction Paper,1,Pack
2 Pre -K -1 Writing Tablets,Writing Tablets,2,
2 Large Packs of Glue Sticks,Large Glue Sticks,2,Packs
1
