••0G0 AT&T
3:41 PM * 14% f
Orders,Orders,Multiple
28 Items Reorder,Reorder,28
"Staples® Composition Notebook, Wide",Staples Composition Notebook Wide,Multiple
"Ruled, Black, 9-3/4"" x 7-1/2""",Ruled Black,2
Quantity : 1,Quantity,1
Order #9759122400 (Shipment 1 of 2),Order,9759122400
"Elmer's All Purpose School Glue Sticks,"
"Washable, 30 Pack",Washable Pack,1
Quantity : 1,Quantity,1
Order #9759122400 (Shipment 1 of 2),Order,9759122400
"IRMMING Crayola® Ultra -Clean Markers, Broad Line,",Crayola Ultra Clean Markers Broad Line,Multiple
10/Pack,Pack,10
4)r
Quantity : 2,Quantity,2
Order #9759122400 (Shipment 1 of 2),Order,9759122400
"Staples Composition Notebook, Wide Ruled,",Staples Composition Notebook Wide Ruled,Multiple
"Blue, 9-3/4"" x 7-1/2"", Each (27621M -CC)"
Quantity : 1,Quantity,1
Order #9759122400 (Shipment 1 of 2),Order,9759122400
"Staples Wide Rule Composition Book,",Staples Wide Rule Composition Book,Multiple
"Assorted Colors, 9-3/4"" x 7-1/2"", Each (20..."
Quantity : 1,Quantity,1
Order #9759122400 (Shipment 1 of 2),Order,9759122400
Delivered On 16th August 2017 Reorder,Delivered 16th 2017 Reorder,1
