Grade:3 .
CRAYOLA COLORED PENCILS PRE -SHARPENED 12CT,CRAYOLA COLORED PENCILS SHARPENED,Multiple
CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,Multiple
PENCILS #2 YEI IOW WOODCASE SHARPENED 12CT (5),PENCILS SHARPENED,Multiple
CRAYOLA WASH MARKERS BROAD TIP CLASSIC,CRAYOLA WASH MARKERS BROAD TIP CLASSIC,Multiple
COLORS SCT,COLORS,Multiple
SHARPIE PERM MARKER FINE POINT BLACK,SHARPIE PERM MARKER FINE POINT BLACK,1
SHARPIE PERM MARKER CHISEL TIP BLACK,SHARPIE PERM MARKER CHISEL TIP BLACK,1
ELM ER'S SMALL GLUE STICK PURPLE -DRIES CLEAR Al
iE
"FISKARS SCISSORS POI N I tD 5""",SCISSORS POI,5
2 -POCKET FOLDER POLY W/OUT CLASP ORANGE,POCKET FOLDER OUT CLASP ORANGE,2
2-POCKET FOLDER POLY W/OUT CLASP BLUE,POCKET FOLDER OUT CLASP BLUE,2
2 -POCKET FOLDER POLY W/OUT CLASP PURPLE,POCKET FOLDER OUT CLASP PURPLE,2
2 -POCKET FOLDER POLY W/OUT CLASP GREEN,POCKET FOLDER OUT CLASP GREEN,2
MEAD COMPOSITION BK ;WIDE RULE' BLK 100 ; T 9.75X7.5 (,MEAD COMPOSITION WIDE RULE 100,5
PAPERMATE PEN STICK MED PT RED C2),PEN STICK MED RED,1
EXPO LOW ODOR DRY ERASE MARKER CHISEL TIP BLACK (4)
PAPERMATE PEN STICK MED PT BLUE (2),PEN STICK MED BLUE,1
-SELF STICK NOTES ASST PASTEL 3X3 100CT(4)
PAPERMATE PINK PEARL LATEX -FREE ERASER (3),PINK PEARL LATEX FREE ERASER,1
STENO PAD GREGG RULE WHITE PAPER 80CT 6X9,STENO PAD GREGG RULE WHITE PAPER,1
