Qty.,Qty,1
.•�k
1 Ea
1 Pk
Brand,Brand,1
Esselte
Cline,Cline,1
Staples,Staples,Multiple
Tape-lt,Tape,1
d Staples,Staples,Multiple
a Mead,Mead,1
SchoolKldz
Staples,Staples,Multiple
",tea CLine",tea,1
1 Ea Staples,Staples,1
1 Bx SchooiKidz
1 Pk Pacon
1 Ea Staples,Staples,1
1 Ea C -Line,Line,1
3 Pk Staples,Staples,3
1 Ea Maped
3 Pk Staples,Staples,3
1 Bx Crayola,Crayola,1
2 Ea Elmer's,Elmer,2
2 Ea Sanford,Sanford,2
4 Ea Staples,Staples,4
1 RI EDM1/SchoolKi
3 Pk Fresh'N Up,Fresh,3
3 Bx Kleenex,Kleenex,3
1 St Crayola,Crayola,1
1 St Crayola,Crayola,1
1 Ea CLI/Stapies
2 P Flskars
Desc tisp_ti
"Index Cards, 3"" x 5"", Ruled, 100/Pk, White",Index Cards Ruled 100 White,Multiple
"File, Expanding, Poly, 13 -Pocket, Coupon Size, Asst. Colors"
"Notebooks, Spiral, 6Pk, WR, 70Ct, Be/Rd/Gn/Yw/Pu/Bik",Notebooks Spiral,Multiple
"Tape, Invisible, w/Dispenser, 3/4"" x 1296""",Tape Invisible,1296
"Stick On Notes, 3"" x 3"", Asst. Bright's, 100 Sht/Pad"
"Composition Book, Marble Cover, WR, 100 Sheets, Black",Composition Book Marble Cover 100 Sheets Black,1
"Protractor, Plastic, Clear, 6"", 180 Degrees",Protractor Plastic Clear 180 Degrees,1
"BULK Copy Paper, 20 Ib, 8.5"" x 11"", 500/Pk, White",BULK Copy Paper 500 White,1
"File, Expanding, Poly, 7 -Pocket, Letter Size, Asst. Colors"
"Pencil Box, Stretch, 13-3/8"" x 5.5"" x 2.5"", Asst.",Pencil Box Stretch Asst,1
"Storage Bags, Economy Zip, Gallon, 15 Ct,",Storage Bags Economy Zip Gallon,Multiple
"Construction Paper, 9"" x 12"", 50/Pk, Asst.",Construction Paper Asst,1
"Highlighter, Chisel Tip, Yellow, w/Pkt Clip",Highlighter Chisel Tip Yellow,1
"Folder, Poly, 2 Pocket, 3 Hole, Orange",Folder Pocket Hole Orange,1
"Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk",Filler Paper Wide Rule 120,1
"Sharpener, Pencil & Crayon, Dbl Barrel, Canister",Sharpener Pencil Crayon Dbl Barrel,1
"Pencils, #2, Unsharpened, All Wood, Dz.",Pencils Unsharpened All Wood,Multiple
"Crayons, Crayola, Tuck Bvx, 24/Box"
"Glue, School, Elmer's Washable, 4 oz., White",Glue Elmer Washable White,1
"Marker, Sharpie, Fine Point, Black",Marker Sharpie Fine Point Black,1
"Glue Stick, Staples Brand, Washable, White, .26 oz.",Glue Stick Staples Brand Washable White,Multiple
"Paper Towels, Roll, 2 Ply, 85 Sheets"
"Wipes, Antibacterial, Moisturizing, Canister, 40 Ct,",Wipes Antibacterial Moisturizing Canister,Multiple
"Facial Tissue, 'Kleenex', 2 -Ply, 85 Ct., White",Facial Tissue Kleenex Ply White,1
"Pencils, Colored, 7"", Sharpened, 12/Set",Pencils Colored Sharpened Set,Multiple
"Markers, Classic Colors, Wide Tip, 10/Set",Markers Classic Colors Wide Tip Set,Multiple
"Ruler, 12"", Wood, Inch & Cm, No Center Holes",Ruler Wood Inch Center Holes,1
"Scissors, 'For Kids', 5"", Pointed Tip, Latex Free, Asst.",Scissors For Kids Pointed Tip Latex Free Asst,Multiple
